id,x,y,z,component,pin_name,layer,signal,connected_to,connected_ids
122,3.3446351,-7.489056,0.0,L-PSW1,1,TOP,unconnected-(L-PSW1-A-Pad1),,[]
123,3.462745,-7.489056,0.0,L-PSW1,2,TOP,L-BAT+,U1:15,[72]
124,3.5218,-7.489056,0.0,L-PSW1,3,TOP,L-VBAT,L-BAT+1:1,[16]
125,3.28164299,-7.5638589,0.0,L-PSW1,NC,TOP,unconnected,[],[]
126,3.594635,-7.5638589,0.0,L-PSW1,NC,TOP,unconnected,[],[]
127,1.9968709051692317,-5.419793536887486,0.0,L-S0,none,TOP,unconnected,[],[]
128,2.0480315765475443,-5.6169738616288765,0.0,L-S0,none,TOP,unconnected,[],[]
129,2.17440293315706,-5.156496789181539,0.0,L-S0,none,TOP,unconnected,[],[]
130,2.21074,-5.38592,0.0,L-S0,none,TOP,unconnected,[],[]
131,2.381762915269344,-5.207361773673754,0.0,L-S0,none,TOP,unconnected,[],[]
132,2.424609094830768,-5.352046463112513,0.0,L-S0,none,TOP,unconnected,[],[]
133,2.0376885357758896,-5.174164147294835,0.0,L-S0,1,TOP,L-COL0,L-S6:1|U1:1|L-S12:1,"[56,58,86]"
134,2.5178624178499915,-5.18580573012907,0.0,L-S0,2,TOP,Net-(L-D0-A),L-D0:2,[236]
135,3.5875712013864307,-5.337094070793662,0.0,L-S8,none,TOP,unconnected,[],[]
136,3.628342137995052,-5.5366817094115275,0.0,L-S8,none,TOP,unconnected,[],[]
137,3.7786398149667995,-5.083449470578172,0.0,L-S8,none,TOP,unconnected,[],[]
138,3.80292,-5.31446,0.0,L-S8,none,TOP,unconnected,[],[]
139,3.983053549827624,-5.145097129327297,0.0,L-S8,none,TOP,unconnected,[],[]
140,4.018268798613569,-5.291825929206339,0.0,L-S8,none,TOP,unconnected,[],[]
141,3.6411881418346437,-5.0939375374720735,0.0,L-S8,1,TOP,L-COL2,L-S14:1|U1:3|L-S2:1,"[6,60,149]"
142,4.120094688921791,-5.130693525202867,0.0,L-S8,2,TOP,Net-(L-D8-A),L-D8:2,[204]
143,3.5073212013864308,-4.573584070793662,0.0,L-S2,none,TOP,unconnected,[],[]
144,3.548092137995052,-4.773171709411527,0.0,L-S2,none,TOP,unconnected,[],[]
145,3.6983898149667995,-4.319939470578172,0.0,L-S2,none,TOP,unconnected,[],[]
146,3.72267,-4.55095,0.0,L-S2,none,TOP,unconnected,[],[]
147,3.902803549827624,-4.381587129327297,0.0,L-S2,none,TOP,unconnected,[],[]
148,3.938018798613569,-4.528315929206339,0.0,L-S2,none,TOP,unconnected,[],[]
149,3.5609381418346437,-4.330427537472073,0.0,L-S2,1,TOP,L-COL2,L-S14:1|U1:3|L-S8:1,"[6,60,141]"
150,4.03984468892179,-4.367183525202867,0.0,L-S2,2,TOP,Net-(L-D2-A),L-D2:2,[228]
151,4.342751753691918,-4.278782566285066,0.0,L-S3,none,TOP,unconnected,[],[]
152,4.373021205227556,-4.480230462935122,0.0,L-S3,none,TOP,unconnected,[],[]
153,4.5468332470760195,-4.035485335778604,0.0,L-S3,none,TOP,unconnected,[],[]
154,4.55899,-4.26745,0.0,L-S3,none,TOP,unconnected,[],[]
155,4.747740450846756,-4.107746696837084,0.0,L-S3,none,TOP,unconnected,[],[]
156,4.775228246308082,-4.256117433714935,0.0,L-S3,none,TOP,unconnected,[],[]
157,4.409021043674785,-4.0387653643907715,0.0,L-S3,1,TOP,L-COL3,L-S9:1|U1:4|L-S15:1|L-S18:1,"[23,61,110,189]"
158,4.885347606217797,-4.100535011410631,0.0,L-S3,2,TOP,Net-(L-D3-A),L-D3:2,[216]
159,6.793100905169232,-7.326346463112514,0.0,L-S20,none,TOP,unconnected,[],[]
160,6.78082552376015,-7.529685612742538,0.0,L-S20,none,TOP,unconnected,[],[]
161,7.04330706684294,-7.13079678918154,0.0,L-S20,none,TOP,unconnected,[],[]
162,7.00697,-7.36022,0.0,L-S20,none,TOP,unconnected,[],[]
163,7.224799984422962,-7.243250022560093,0.0,L-S20,none,TOP,unconnected,[],[]
164,7.220839094830768,-7.394093536887486,0.0,L-S20,none,TOP,unconnected,[],[]
165,6.907824434439497,-7.105352373074398,0.0,L-S20,1,TOP,L-COL5,U1:6|L-S17:1|L-S5:1|L-S11:1,"[63,118,173,197]"
166,7.360899487003609,-7.264806066104777,0.0,L-S20,2,TOP,Net-(L-D20-A),L-D20:2,[220]
167,5.967395,-4.77576,0.0,L-S5,none,TOP,unconnected,[],[]
168,5.98708,-4.978516,0.0,L-S5,none,TOP,unconnected,[],[]
169,6.18393,-4.543477,0.0,L-S5,none,TOP,unconnected,[],[]
170,6.18393,-4.77576,0.0,L-S5,none,TOP,unconnected,[],[]
171,6.380780000000001,-4.626154,0.0,L-S5,none,TOP,unconnected,[],[]
172,6.4004650000000005,-4.77576,0.0,L-S5,none,TOP,unconnected,[],[]
173,6.0461350000000005,-4.53954,0.0,L-S5,1,TOP,L-COL5,U1:6|L-S17:1|L-S20:1|L-S11:1,"[63,118,165,197]"
174,6.518576,-4.626154,0.0,L-S5,2,TOP,Net-(L-D5-A),L-D5:2,[240]
175,2.995330905169232,-6.816223536887486,0.0,L-S13,none,TOP,unconnected,[],[]
176,3.0464915765475444,-7.013403861628877,0.0,L-S13,none,TOP,unconnected,[],[]
177,3.17286293315706,-6.55292678918154,0.0,L-S13,none,TOP,unconnected,[],[]
178,3.2092,-6.78235,0.0,L-S13,none,TOP,unconnected,[],[]
179,3.380222915269344,-6.603791773673755,0.0,L-S13,none,TOP,unconnected,[],[]
180,3.423069094830768,-6.748476463112514,0.0,L-S13,none,TOP,unconnected,[],[]
181,3.0361485357758897,-6.570594147294836,0.0,L-S13,1,TOP,L-COL1,L-S7:1|U1:2|L-S1:1,"[40,59,94]"
182,3.5163224178499917,-6.582235730129071,0.0,L-S13,2,TOP,Net-(L-D13-A),L-D13:2,[232]
183,5.199675,-7.29545,0.0,L-S18,none,TOP,unconnected,[],[]
184,5.21936,-7.498206,0.0,L-S18,none,TOP,unconnected,[],[]
185,5.41621,-7.063167,0.0,L-S18,none,TOP,unconnected,[],[]
186,5.41621,-7.29545,0.0,L-S18,none,TOP,unconnected,[],[]
187,5.613060000000001,-7.145843999999999,0.0,L-S18,none,TOP,unconnected,[],[]
188,5.632745000000001,-7.29545,0.0,L-S18,none,TOP,unconnected,[],[]
189,5.278415000000001,-7.0592299999999994,0.0,L-S18,1,TOP,L-COL3,L-S9:1|U1:4|L-S15:1|L-S3:1,"[23,61,110,157]"
190,5.750856000000001,-7.145843999999999,0.0,L-S18,2,TOP,Net-(L-D18-A),L-D18:2,[234]
191,5.967395,-5.54348,0.0,L-S11,none,TOP,unconnected,[],[]
192,5.98708,-5.746236,0.0,L-S11,none,TOP,unconnected,[],[]
193,6.18393,-5.311197,0.0,L-S11,none,TOP,unconnected,[],[]
194,6.18393,-5.54348,0.0,L-S11,none,TOP,unconnected,[],[]
195,6.380780000000001,-5.393873999999999,0.0,L-S11,none,TOP,unconnected,[],[]
196,6.4004650000000005,-5.54348,0.0,L-S11,none,TOP,unconnected,[],[]
197,6.0461350000000005,-5.307259999999999,0.0,L-S11,1,TOP,L-COL5,U1:6|L-S17:1|L-S20:1|L-S5:1,"[63,118,165,173]"
198,6.518576,-5.393873999999999,0.0,L-S11,2,TOP,Net-(L-D11-A),L-D11:2,[200]
